experiment,model,category,shot,seed,image_auroc,image_ap,pixel_auroc,pixel_ap,aupro_0.3,max_f1,iou_at_best_f1,fragmentation,pixel_threshold,fit_ms,inference_ms_per_image,memory_mb,normal_mean_score,anomaly_mean_score
fewshot,patchcore-coreset,carpet,20,0,0.9759229534510434,0.9931360759727461,0.9870663272666628,0.568256965837478,0.8910951482836353,0.5979172432881261,0.42644932364074245,0.0019272637957414693,0.46912336349487305,0.7859100005589426,0.3498901026502538,1.0,0.384309858083725,0.5924715399742126
fewshot,prototype-only,carpet,20,0,0.9831460674157303,0.9956428404178383,0.9880972110584062,0.580811913362386,0.8092437518887107,0.6041206409575213,0.4327885766374004,0.0021423122675197828,8.529718399047852,3979.611251001188,1.0184968972696054,0.1259765625,4.955792427062988,12.322378158569336
fewshot,ppm-ad-full,carpet,20,0,0.9871589085072231,0.9964993017989883,0.9895538464259954,0.5944978527163577,0.7813784154389033,0.6044948286754737,0.43317276144646955,0.001116339666596793,9.235968589782715,4066.335784998955,2.2961062391743297,0.1259765625,4.602281093597412,12.210143089294434
fewshot,patchcore,carpet,20,1,0.9823434991974318,0.9949438902891506,0.9884315785673867,0.6048859257231547,0.8390465959602883,0.5983975747076656,0.4269381701325588,0.0026693967985909357,0.47899550199508667,1.4748500034329481,0.8363695044078443,10.0,0.3754427134990692,0.587639331817627
fewshot,patchcore-coreset,carpet,20,1,0.971107544141252,0.9915056582987362,0.987576445561599,0.5975793001732037,0.9250957363352963,0.5998287566067797,0.4283967117858636,0.0017050839019859558,0.4931927025318146,0.8555900058127008,0.3521192817511953,1.0,0.407303124666214,0.6041532754898071
fewshot,prototype-only,carpet,20,1,0.9847512038523273,0.995905070783208,0.9883398321805198,0.6213096165213677,0.8579710186021557,0.6015592415541083,0.43016426539414515,0.002716561208624887,8.80050277709961,3896.3332179991994,1.010094068195217,0.1259765625,5.080080509185791,12.287922859191895
fewshot,ppm-ad-full,carpet,20,1,0.9847512038523274,0.9958775501222645,0.9877538857868615,0.5880358122954862,0.929879583356356,0.5703094168794784,0.39890408708903263,0.002009383769778563,8.02037525177002,3721.2096299990662,2.289834563706456,0.1259765625,4.648938179016113,11.220667839050293
fewshot,patchcore,carpet,20,2,0.9674959871589085,0.9908429342316156,0.986207743516486,0.5734450703194487,0.9014020262100327,0.5745623613116834,0.4030778658548639,0.001260840802741043,0.40797731280326843,1.4818369963904843,0.8364114785988807,10.0,0.3255275785923004,0.5055038928985596
fewshot,patchcore-coreset,carpet,20,2,0.965489566613162,0.9900837850234301,0.9851246837590482,0.5733064091759482,0.8183508234023694,0.5759920382523065,0.4044865293768359,0.0033765996841046467,0.4353879690170288,0.844962996779941,0.3485470173410816,1.0,0.35305076837539673,0.5253113508224487
fewshot,prototype-only,carpet,20,2,0.9502407704654895,0.9859952510393893,0.9791569701713314,0.578682764994852,0.7855244052224981,0.57512106783118,0.40362802400045555,0.002850931862704152,6.130786895751953,3885.381617001258,1.0214714015262902,0.1259765625,4.342046737670898,8.706072807312012
fewshot,ppm-ad-full,carpet,20,2,0.9177367576243981,0.9723903575158511,0.9752537811362451,0.3756970555409929,0.8231705890641344,0.38775388084567636,0.24050538949293057,0.0072447527220510744,5.337754249572754,3786.277874998632,2.321355452979457,0.1259765625,4.22692346572876,6.361483097076416
